,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Management Occupations,-1614,-1614,-1614,-1614,-1614,-98,-98,-98,-98,-98,974,974,974,974,974,"1,687","1,687","1,687",1340,210
Business and Financial Operations Occupations,936,936,936,936,936,814,814,814,814,814,476,476,476,476,476,323,323,323,1300,-620
Computer and Mathematical Occupations,-174,-174,-174,-174,-174,152,152,152,152,152,484,484,484,484,484,930,930,930,250,-670
Architecture and Engineering Occupations,68,68,68,68,68,-54,-54,-54,-54,-54,100,100,100,100,100,43,43,43,-610,250
"Life, Physical, and Social Science Occupations",280,280,280,280,280,-244,-244,-244,-244,-244,28,28,28,28,28,87,87,87,650,60
Community and Social Services Occupations,302,302,302,302,302,68,68,68,68,68,114,114,114,114,114,-127,-127,-127,-130,-220
Legal Occupations,76,76,76,76,76,-34,-34,-34,-34,-34,90,90,90,90,90,0,0,0,20,30
"Education, Training, and Library Occupations",810,810,810,810,810,910,910,910,910,910,-134,-134,-134,-134,-134,230,230,230,2240,-470
"Arts, Design, Entertainment, Sports, and Media Occupations",-46,-46,-46,-46,-46,-4,-4,-4,-4,-4,146,146,146,146,146,-127,-127,-127,-30,-760
Healthcare Practitioners and Technical Occupations,726,726,726,726,726,652,652,652,652,652,714,714,714,714,714,710,710,710,140,1320
Healthcare Support Occupations,686,686,686,686,686,236,236,236,236,236,-178,-178,-178,-178,-178,437,437,437,4350,50
Protective Service Occupations,380,380,380,380,380,144,144,144,144,144,152,152,152,152,152,100,100,100,-390,-1170
Food Preparation and Serving Related Occupations,1446,1446,1446,1446,1446,320,320,320,320,320,514,514,514,514,514,"1,050","1,050","1,050",550,-5380
Building and Grounds Cleaning and Maintenance Occupations,156,156,156,156,156,26,26,26,26,26,-50,-50,-50,-50,-50,227,227,227,80,-1100
Personal Care and Service Occupations,256,256,256,256,256,254,254,254,254,254,914,914,914,914,914,863,863,863,-5060,-2250
Sales and Related Occupations,-508,-508,-508,-508,-508,348,348,348,348,348,872,872,872,872,872,"-1,570","-1,570","-1,570",90,-2210
Office and Administrative Support Occupations,-240,-240,-240,-240,-240,-482,-482,-482,-482,-482,248,248,248,248,248,-697,-697,-697,-8680,-4050
"Farming, Fishing, and Forestry Occupations",-54,-54,-54,-54,-54,8,8,8,8,8,2,2,2,2,2,23,23,23,70,-80
Construction and Extraction Occupations,100,100,100,100,100,-278,-278,-278,-278,-278,122,122,122,122,122,767,767,767,1620,240
"Installation, Maintenance, and Repair Occupations",312,312,312,312,312,102,102,102,102,102,10,10,10,10,10,650,650,650,420,-440
Production Occupations,-500,-500,-500,-500,-500,-296,-296,-296,-296,-296,100,100,100,100,100,427,427,427,-1330,-1360
Transportation and Material Moving Occupations,992,992,992,992,992,-804,-804,-804,-804,-804,532,532,532,532,532,-997,-997,-997,5920,-920
