,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Management Occupations,-3504,-3504,-3504,-3504,-3504,5380,5380,5380,5380,5380,4584,4584,4584,4584,4584,"4,893","4,893","4,893",-2830,-2830
Business and Financial Operations Occupations,422,422,422,422,422,2906,2906,2906,2906,2906,7954,7954,7954,7954,7954,"9,833","9,833","9,833",6220,9500
Computer and Mathematical Occupations,-1340,-1340,-1340,-1340,-1340,3308,3308,3308,3308,3308,7054,7054,7054,7054,7054,"6,040","6,040","6,040",8360,26940
Architecture and Engineering Occupations,-2050,-2050,-2050,-2050,-2050,1176,1176,1176,1176,1176,1366,1366,1366,1366,1366,"-1,710","-1,710","-1,710",2230,-1670
"Life, Physical, and Social Science Occupations",652,652,652,652,652,-864,-864,-864,-864,-864,338,338,338,338,338,250,250,250,3220,-870
Community and Social Services Occupations,434,434,434,434,434,-124,-124,-124,-124,-124,1154,1154,1154,1154,1154,587,587,587,2080,2770
Legal Occupations,-302,-302,-302,-302,-302,6,6,6,6,6,398,398,398,398,398,207,207,207,670,940
"Education, Training, and Library Occupations",90,90,90,90,90,604,604,604,604,604,5458,5458,5458,5458,5458,"1,497","1,497","1,497",-70,-4140
"Arts, Design, Entertainment, Sports, and Media Occupations",-218,-218,-218,-218,-218,336,336,336,336,336,1226,1226,1226,1226,1226,563,563,563,1460,160
Healthcare Practitioners and Technical Occupations,-406,-406,-406,-406,-406,970,970,970,970,970,5250,5250,5250,5250,5250,"2,387","2,387","2,387",6240,-690
Healthcare Support Occupations,-146,-146,-146,-146,-146,982,982,982,982,982,1824,1824,1824,1824,1824,"2,280","2,280","2,280",31150,-5060
Protective Service Occupations,-928,-928,-928,-928,-928,-104,-104,-104,-104,-104,2538,2538,2538,2538,2538,660,660,660,710,-2120
Food Preparation and Serving Related Occupations,2736,2736,2736,2736,2736,1506,1506,1506,1506,1506,8956,8956,8956,8956,8956,"5,827","5,827","5,827",1910,-28390
Building and Grounds Cleaning and Maintenance Occupations,-602,-602,-602,-602,-602,368,368,368,368,368,2238,2238,2238,2238,2238,750,750,750,700,-3770
Personal Care and Service Occupations,1116,1116,1116,1116,1116,956,956,956,956,956,2830,2830,2830,2830,2830,"4,687","4,687","4,687",-21000,-8700
Sales and Related Occupations,-470,-470,-470,-470,-470,-2094,-2094,-2094,-2094,-2094,7138,7138,7138,7138,7138,"1,357","1,357","1,357",5510,-14560
Office and Administrative Support Occupations,-4000,-4000,-4000,-4000,-4000,-4996,-4996,-4996,-4996,-4996,9948,9948,9948,9948,9948,"3,970","3,970","3,970",-31580,-14280
"Farming, Fishing, and Forestry Occupations",282,282,282,282,282,-148,-148,-148,-148,-148,134,134,134,134,134,-3,-3,-3,-610,-240
Construction and Extraction Occupations,-122,-122,-122,-122,-122,-2472,-2472,-2472,-2472,-2472,4998,4998,4998,4998,4998,"5,360","5,360","5,360",3070,-4960
"Installation, Maintenance, and Repair Occupations",-1908,-1908,-1908,-1908,-1908,-106,-106,-106,-106,-106,3020,3020,3020,3020,3020,"3,193","3,193","3,193",2380,-4730
Production Occupations,-4134,-4134,-4134,-4134,-4134,6,6,6,6,6,7088,7088,7088,7088,7088,"-1,020","-1,020","-1,020",360,-7370
Transportation and Material Moving Occupations,-2042,-2042,-2042,-2042,-2042,-1174,-1174,-1174,-1174,-1174,8098,8098,8098,8098,8098,"5,087","5,087","5,087",16440,-15740
